date,compartment,y_025,y_25,y_median,y_mean,y_75,y_975,scenario,country,iso3c,report_date,version,death_calibrated
2020-02-12,hospital_demand,0,0,0,0,0,0,Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,Rt,4.82,4.85,4.87,4.88,4.9,4.95,Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,Reff,4.82,4.85,4.87,4.88,4.9,4.95,Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,Rt,4.82,4.85,4.87,4.88,4.9,4.95,Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,Reff,4.82,4.85,4.87,4.88,4.9,4.95,Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Relax Interventions 50%,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Relax Interventions 50%,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Relax Interventions 50%,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Relax Interventions 50%,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Relax Interventions 50%,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,Rt,4.82,4.85,4.87,4.88,4.9,4.95,Relax Interventions 50%,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,Reff,4.82,4.85,4.87,4.88,4.9,4.95,Relax Interventions 50%,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,prevalence,5,5,5,5,5,5,Surged Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,cumulative_infections,0,0,0,0,0,0,Surged Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,Rt,4.81,4.86,4.88,4.88,4.9,4.94,Surged Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,Reff,4.81,4.86,4.88,4.88,4.9,4.94,Surged Additional 50% Reduction,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,hospital_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,ICU_demand,0,0,0,0,0,0,Surged Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
2020-02-12,infections,0,0,0,0,0,0,Surged Maintain Status Quo,Austria,AUT,2021-05-10,v8,TRUE
